rank,page,category,total2017,local2017,pctlocal,,comment
25,Angella Katatumba,Music," 313,093 "," 67,031 ",0.214092937,21,"She is abit of an anomally on this list. Most of her fans are from Turkey (131,482), Brazil(11,372), and Russia (8,978) and Other Nations (94,230) . Very unusual for a Ugandan Musician"
26,RED Pepper UG,Entertainment News," 303,855 "," 243,489 ",0.801332873,80,"Most fans, as expected, are local - followed by a largely East African fanbase"
27,Africell Uganda,Telecom," 293,290 "," 273,147 ",0.931320536,93,"Most fans, as expected, are local - followed by a largely East African fanbase"
28,Yoweri Kaguta Museveni,Politics," 268,721 "," 143,782 ",0.535060527,54,"Most fans, as expected, are local - followed by Kenya(45,226) and other East African countries"
29,Maurice Kirya Music,Music," 256,038 "," 198,052 ",0.773525805,77,"Most fans, as expected, are local - followed by a largely East African fanbase"
30,A PASS,Music," 253,987 "," 214,944 ",0.846279534,85,"Most fans, as expected, are local - followed by a largely East African fanbase"
31,Cafe Javas,Foods," 240,315 ",229156,0.953565112,95,"Most fans, as expected, are local - followed by a largely East African fanbase"
32,Bell Lager,Drinks," 240,042 ",209241,0.871684955,87,"Most fans, as expected, are local - followed by a largely East African fanbase. Turkey(5,498) kinda snuck in there too."
33,93.3 KFM,Radio," 238,219 ",202981,0.85207729,85,Most fans are local
34,U.S. Embassy Kampala,Politics," 228,039 ",171524,0.752169585,75,Most fans are local
35,Centenary Bank,Finance," 225,857 ",209264,0.92653316,93,Most fans are local
36,NAVIO,Music," 217,692 ",160361,0.736641677,74,"Most fans, as expected, are local - followed by a largely East African fanbase"
37,Club Pilsener,Drinks," 216,676 ",164662,0.759945725,76,"Most fans, as expected, are local - followed by Kenya(36,029) and other East African countries"
38,UGO Uganda,Entertainment News," 216,262 ",63402,0.293172171,29,"Most of UGO's page fans are from Tanzania (108,175), and Kenya (16,676) . Very unusual for a Ugandan based website"
39,Winnie NWAGI,Music," 208,913 ",180199,0.862555226,86,"Most fans, as expected, are local - followed by a largely East African fanbase"
40,Mariam Ndagire,Music," 206,566 ",161307,0.780898115,78,"Most fans, as expected, are local - followed by a largely East African fanbase"
41,Desire Luzinda,Music," 199,468 ",152279,0.763425712,76,"Most fans, as expected, are local - followed by a largely East African fanbase"
42,91.2 CROOZE FM,Radio," 199,060 ",154147,0.77437456,77,Most fans are local. Radio statio from Mbarara
43,Uganda Telecom,Telecom," 191,567 ",45330, 0.24 ,24,"Most fans, as expected, are local - followed by fanbases from India (42,482), Tanzania(37,877) and Pakistan(20,421)"
44,Vodafone Uganda,Telecom," 190,630 ",177056,0.928793999,93,"Most fans, as expected, are local - followed by a largely East African fanbase"
45,Fenon Records,Music,185651,80680,0.43457886,43,"Most fans, as expected, are local - however, also a huge fanbase in Tanzania(72,504)"
46,Kiiza Besigye,Politics,179059,133901,0.747803797,75,"Most fans, as expected, are local - followed by a largely East African fanbase"
47,NSSF Uganda,Finance,175019,162126,0.926333712,93,Most fans are local
48,Appollo Kagimu,Music,171684,53696,0.312760653,31,"Most fans, as expected, are local - however, also a huge fanbase in Turkey(32,042)"
49,Radio & Weasal,Music,164330,113702,0.691912615,69,"Most fans, as expected, are local - followed by a largely East African fanbase"
50,Howwe.BIZ,Entertainment News,162868,128425,0.788521993,79,"Most fans, as expected, are local - followed by a largely East African fanbase"
